pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S_obs,null_mean,null_sd,z_S,p_right,p_left,STR,Max_episode
20170707_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,64,59,1,24.0,0.3902439024390244,0.3974536585365854,0.0492189312179342,-0.1464833940752843,0.6258374162583742,0.5087491250874913,,
20170707_01_02_01,invisible,0.1,P3,60.0,180.0,118.7,152,158,1,61.0,0.3935483870967742,0.3620877419354839,0.0307053318684821,1.0245987666260483,0.1795820417958204,0.8699130086991301,,
20170707_01_02_02,invisible,0.1,P1,0.0,20.0,14.7,29,15,1,9.0,0.4090909090909091,0.3726590909090909,0.0789130595712696,0.4616703290906516,0.4344565543445655,0.7716228377162284,,
20170707_01_02_02,invisible,0.1,P2,20.0,60.0,40.0,70,63,1,28.0,0.4210526315789473,0.4167714285714285,0.0469785167634907,0.0911310808102387,0.5306469353064693,0.593940605939406,,
20170707_01_02_02,invisible,0.1,P3,60.0,180.0,114.2,139,175,1,66.0,0.4203821656050955,0.36528025477707,0.0294681784760661,1.8698784138551,0.0375962403759624,0.977002299770023,,
20170707_01_02_03,invisible,0.1,P1,0.0,20.0,16.3,29,31,1,14.0,0.4666666666666667,0.4488933333333333,0.0700106253355667,0.2538662274211128,0.4941505849415059,0.6872312768723128,,
20170707_01_02_03,invisible,0.1,P2,20.0,60.0,40.0,60,66,1,23.0,0.365079365079365,0.4078507936507936,0.0490850709960425,-0.8713734686230155,0.8480151984801519,0.23997600239976,,
20170707_01_02_03,invisible,0.1,P3,60.0,180.0,119.6,168,192,1,74.0,0.4111111111111111,0.3886838888888888,0.0275337024958801,0.8145371014151865,0.2397760223977602,0.8202179782021798,,
20170707_03_04_01,invisible,0.1,P1,0.0,20.0,15.5,28,24,1,11.0,0.4230769230769231,0.4456346153846154,0.0782399923006236,-0.2883140916095479,0.7091290870912909,0.4814518548145185,,
20170707_03_04_01,invisible,0.1,P2,20.0,60.0,40.0,59,49,1,24.0,0.4444444444444444,0.3783537037037037,0.0551439676547423,1.1985126125587542,0.1543845615438456,0.9116088391160884,,
20170707_03_04_01,invisible,0.1,P3,60.0,180.0,119.9,178,131,1,60.0,0.3883495145631068,0.3373831715210356,0.0301332329541367,1.6913665758879193,0.0554944505549445,0.966103389661034,,
20170707_03_04_02,invisible,0.1,P1,0.0,20.0,14.4,23,16,1,6.0,0.3076923076923077,0.374974358974359,0.0906571597993457,-0.7421592671882581,0.8506149385061493,0.3255674432556744,,
20170707_03_04_02,invisible,0.1,P2,20.0,60.0,40.0,64,53,1,24.0,0.4102564102564102,0.3846581196581196,0.0512201665895018,0.4997697645820863,0.3735626437356264,0.7467253274672533,,
20170707_03_04_02,invisible,0.1,P3,60.0,180.0,119.7,178,127,1,45.0,0.2950819672131147,0.3575481967213114,0.0321924667235971,-1.9403989773299624,0.98010198980102,0.0322967703229677,,
20170707_03_04_03,invisible,0.1,P1,0.0,20.0,14.9,26,22,1,10.0,0.4166666666666667,0.4221458333333333,0.0817515790417382,-0.0670221508977729,0.6243375662433757,0.5787421257874212,,
20170707_03_04_03,invisible,0.1,P2,20.0,60.0,40.0,66,50,1,27.0,0.4655172413793103,0.4020913793103448,0.0531034901239623,1.1943821756518662,0.1494850514948505,0.9134086591340866,,
20170707_03_04_03,invisible,0.1,P3,60.0,180.0,119.5,181,138,1,53.0,0.3322884012539185,0.3577228840125391,0.0309213645254609,-0.8225536986790375,0.8262173782621738,0.2346765323467653,,
20170707_05_06_01,invisible,0.1,P1,0.0,20.0,5.4,6,3,0,0.0,0.0,0.1403777777777778,0.140386594889924,-0.999937194059353,1.0,0.4515548445155484,,
20170707_05_06_01,invisible,0.1,P2,20.0,60.0,40.0,46,38,1,15.0,0.3571428571428571,0.3013547619047619,0.0602104298045623,0.926552017967293,0.2304769523047695,0.8700129987001299,,
20170707_05_06_01,invisible,0.1,P3,60.0,180.0,119.4,129,119,1,38.0,0.3064516129032258,0.271216129032258,0.0328703511006806,1.0719533771648122,0.1752824717528247,0.8832116788321168,,
20170707_05_06_02,invisible,0.1,P1,0.0,20.0,8.9,14,8,1,3.0,0.2727272727272727,0.3041545454545454,0.1066596178208433,-0.2946501531635078,0.7666233376662334,0.5507449255074492,,
20170707_05_06_02,invisible,0.1,P2,20.0,60.0,40.0,47,45,1,13.0,0.2826086956521739,0.3230782608695652,0.0567891993511266,-0.712627853179769,0.8201179882011799,0.2988701129887011,,
